transID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount
CUPO258C0D42PY,4.97E+12,online,"Hj. Ophelia Haryanti, S.Sos",M,2002,9E,Kebayoran Lama - Jelambar,1,B00058P,Apartemen Simprug Teras,-6.232197,106.78874,19,4/3/2023 5:41,P00155,Pasar Kebayoran Lama,-6.238413,106.78323,20,4/3/2023 6:35,3500
SBPQ144H4S45RA,5.02E+11,flazz,"Adikara Kurniawan, S.Sos",M,2003,M9,Pinang Ranti - Pluit,1,P00093,Jembatan Tiga Arah Utara,-6.133383,106.79267,2,4/3/2023 6:24,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,16,4/3/2023 7:07,3500
MEFW094B7A84RS,3.79E+14,emoney,Aslijan Irawan,F,2009,T11,Poris Plawad - Bundaran Senayan,1,P00206,RS Harapan Kita Arah Utara,-6.184489,106.79674,6,4/3/2023 5:13,B05720P,Term. Poris Plawad,-6.172859,106.66501,24,4/3/2023 6:08,3500
RJPK085I1K65HR,6.76E+11,flazz,Fathonah Saefullah,M,1983,6V,Ragunan - Gelora Bung Karno,0,P00259,Tirtayasa,-6.239207,106.80777,12,4/3/2023 6:44,P00133,Masjid Agung,-6.236483,106.79845,13,4/3/2023 7:11,3500
TFIO518N2X54UT,2.13E+14,emoney,Darman Purwanti,M,1999,11Q,Kampung Melayu - Pulo Gebang via BKT,0,B02335P,Masjid Jami At Taqwa 2,-6.229704,106.8962,18,4/3/2023 6:45,B05256P,SMAN 100,-6.228401,106.88494,21,4/3/2023 7:06,3500
BECP746A8C28NV,4.97E+15,dki,Martana Suartini,F,2007,11,Pulo Gebang - Matraman,0,P00233,St. Jatinegara 2,-6.215601,106.86805,13,4/3/2023 5:48,P00086,Jatinegara RS Premier,-6.221412,106.86807,14,4/3/2023 6:33,3500
KYNP204W3G29VA,6.76E+11,flazz,Eluh Nugroho,F,2011,1C,Pesanggrahan - Blok M,0,B05833P,Univ. Moestopo Bintaro,-6.258469,106.76529,1,4/3/2023 6:00,B00147P,Bintaro Park VIew,-6.257977,106.75969,5,4/3/2023 6:23,3500
LFYJ535S2I30DP,4.68E+12,online,"Drs. Nadia Ramadan, S.Sos",M,1960,M1,Blok M - Kota,0,P00183,Polda Metro Jaya,-6.221094,106.81028,5,4/3/2023 6:15,P00104,Karet Sudirman,-6.212457,106.82003,7,4/3/2023 6:50,3500
KQIA358G2N38CX,4.39E+15,dki,"Ibrahim Prayoga, S.H.",F,2001,7E,Kampung Rambutan - Ragunan,0,B02831P,Phe Tower Kebagusan,-6.299876,106.83323,16,4/3/2023 5:11,B02868P,Plaza Oleos,-6.29771,106.82965,17,4/3/2023 5:38,3500
RANO576G1J87EO,4.91E+15,dki,Ega Andriani,F,1990,1P,Senen - Blok M,0,B00102P,Balai Kota 1,-6.180598,106.82847,12,4/3/2023 6:26,B00221P,Bundaran Senayan 1,-6.227445,106.80187,29,4/3/2023 6:51,3500
NZCE828E4J23AW,3.79E+14,emoney,Salman Ramadan,M,1968,7D,Pancoran - Kampung Rambutan,0,P00039,Cikoko Stasiun Cawang Arah Barat,-6.243359,106.85815,11,4/3/2023 6:44,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,13,4/3/2023 7:28,3500
LKXU174O1E59EP,2.25E+15,dki,"Tgk. Aris Pradipta, M.M.",F,2010,14,Jakarta International Stadium - Senen,1,B01311P,Jln. Kwitang Timur,-6.173788,106.85185,2,4/3/2023 6:47,B03885P,Sbr. Jembatan Sukamulya III,-6.170489,106.85205,3,4/3/2023 7:34,3500
WQXL397G5U61OY,6.39E+11,flazz,"Galang Megantara, S.Ked",M,1989,JIS3,Harmoni - Jakarta International Stadium,0,P00114,Kemayoran Landas Pacu Timur,-6.152181,106.85424,9,4/3/2023 6:32,P00161,Pecenongan,-6.16771,106.82819,12,4/3/2023 7:20,3500
CXLW459Z3A28RD,3.54E+15,dki,"Artawan Iswahyudi, M.Pd",M,1991,6N,Ragunan - Blok M via Kemang,0,B00039P,Ampera Garden,-6.288794,106.81818,6,4/3/2023 5:43,B00066P,Arsip Nasional RI 1,-6.279439,106.81987,10,4/3/2023 6:19,3500
AQPU510X2X44PT,4.02E+15,dki,Aurora Hasanah,F,1990,M11,Pulo Gebang - Pulo Gadung 2,0,P00102,Kampung Sumur,-6.214412,106.91189,6,4/3/2023 6:02,P00058,Flyover Klender,-6.213596,106.90306,7,4/3/2023 6:30,3500
MMEX885R3T18QL,3.47E+14,emoney,Darmaji Wahyuni,F,2003,9N,Pinang Ranti - Pramuka,0,P00064,Garuda Taman Mini,-6.290154,106.88116,1,4/3/2023 5:49,P00016,BKN,-6.257751,106.87,2,4/3/2023 6:39,3500
ELVU605Z3W26IF,2.72E+15,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0,P00202,Rawa Selatan,-6.173925,106.85809,9,4/3/2023 6:35,P00161,Pecenongan,-6.16771,106.82819,18,4/3/2023 7:17,3500
KPDA909R2T72GD,3.43E+14,emoney,Zulaikha Yulianti,F,1991,13,Ciledug - Tendean,1,P00044,CSW 1,-6.23994,106.79843,3,4/3/2023 5:51,P00268,Velbak,-6.239433,106.78552,5,4/3/2023 6:16,3500
GIHF067H1Y81IV,3.50E+14,emoney,Oliva Sirait,M,1983,7P,Pondok Kelapa - BKN,1,B02032P,Komplek Dolog Jaya,-6.24794,106.91572,15,4/3/2023 6:08,B01624P,Jln. Swakarsa III Pondok Kelapa,-6.244759,106.94249,30,4/3/2023 6:40,3500
PKAM574R5S22UG,5.66E+11,flazz,Laila Simanjuntak,F,1992,11,Pulo Gebang - Matraman,1,P00151,Pasar Enjo,-6.214881,106.87819,3,4/3/2023 5:13,P00080,Imigrasi Jakarta Timur,-6.214632,106.88227,4,4/3/2023 6:02,3500
SRIX686S0S08SW,3.53E+15,dki,Puti Paris Marpaung,M,2003,13B,Puri Beta - Pancoran Barat,1,P00106,Kebayoran Lama,-6.23834,106.77752,8,4/3/2023 6:33,P00096,JORR,-6.236104,106.75488,12,4/3/2023 7:29,3500
MLTY652D7F29HW,5.54E+15,dki,Sutan Narji Nasyidah,M,2001,1Q,Rempoa - Blok M,1,B02540P,One Park Residences,-6.245436,106.78844,9,4/3/2023 6:51,B00959P,Jln. Bungur,-6.247708,106.7814,11,4/3/2023 7:29,3500
OPNL705D9K64FN,3.40E+14,emoney,Tgk. Garda Utami,F,2010,M7,Kampung Rambutan - Monas,0,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,14,4/3/2023 5:43,P00025,Bundaran HI,-6.193021,106.823,24,4/3/2023 6:16,3500
JQIF022K9P74RM,4.29E+15,dki,Gara Sitompul,F,1999,9D,Pasar Minggu - Tanah Abang,0,B00693P,Grand Pasar Minggu,-6.290648,106.84236,45,4/3/2023 6:46,B02647P,Pasar Minggu,-6.284413,106.84414,47,4/3/2023 7:09,3500
MQCN972F9X71NY,1.80E+14,emoney,Daryani Prabowo,M,1989,1,Blok M - Kota,1,P00104,Karet Sudirman,-6.212457,106.82003,14,4/3/2023 6:20,P00133,Masjid Agung,-6.236483,106.79845,19,4/3/2023 7:10,3500
TDIY341Y5S79UU,3.41E+14,emoney,"Yance Pratama, S.Kom",F,1994,6N,Ragunan - Blok M via Kemang,1,B04209P,Sbr. Plaza Kemang 88,-6.270024,106.81553,12,4/3/2023 6:51,B03197P,RSIA Kemang,-6.285839,106.8188,18,4/3/2023 7:17,3500
GXOP506G9B61EP,1.80E+14,emoney,"Zalindra Irawan, M.TI.",M,1992,M8,Lebak Bulus - Pasar Baru,0,P00245,Tanah Kusir Kodim,-6.256997,106.78168,20,4/3/2023 5:19,P00184,Pondok Indah 1,-6.286761,106.77999,22,4/3/2023 5:47,3500
XESL868N6A66XN,3.74E+14,emoney,"Jamal Pudjiastuti, S.I.Kom",F,1981,B21,Bekasi Timur - Cawang,1,B02263P,Masjid Amar Maruf 2,-6.255062,107.02206,7,4/3/2023 5:02,B05622P,Taman Margahayu 2,-6.24846,107.02153,10,4/3/2023 5:57,3500
IVHH403J9T51JH,5.13E+15,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,4/3/2023 6:12,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18,4/3/2023 7:12,3500
WHTZ386I9S44YF,5.88E+11,flazz,Drs. Harjo Nurdiyanti,M,1986,14,Jakarta International Stadium - Senen,0,B00292P,Danau Agung 1,-6.147281,106.8582,8,4/3/2023 6:42,B00770P,Honda Letjen Suprapto,-6.174933,106.84973,16,4/3/2023 7:08,3500
DBWI728C0M55ND,4.10E+12,online,Dewi Mansur,M,1994,8K,Batusari - Grogol,1,B05177P,Simpang Tj. Duren Timur 5,-6.180482,106.78375,12,4/3/2023 6:41,B03637P,Sbr. Jln. Angsana Kemanggisan,-6.194813,106.78213,16,4/3/2023 7:20,3500
JUNS207R4F95UA,1.80E+14,emoney,"Tgk. Tania Zulaika, M.Pd",F,2010,M10,PGC 2 - Tanjung Priok,1,P00287,Permai Koja Arah Selatan,-6.114359,106.89314,2,4/3/2023 5:59,P00105,Kayu Putih Rawasari,-6.187453,106.87542,10,4/3/2023 6:47,3500
LFIW578V8Y12XO,2.24E+15,dki,Latika Sirait,M,1953,10D,Kampung Rambutan - Tanjung Priok,1,P00036,Cempaka Putih,-6.174207,106.87642,9,4/3/2023 6:03,P00182,Plumpang Pertamina Arah Utara,-6.12848,106.8937,13,4/3/2023 6:28,3500
QRFR658M6P01AH,4.73E+18,brizzi,Zamira Puspita,M,1977,B11,Summarecon Bekasi - BNN,0,B01728P,Jatibening 1,-6.257161,106.94651,5,4/3/2023 6:08,B00232P,Cawang Blue Bird,-6.248836,106.87801,6,4/3/2023 6:41,3500
ELFD362R2U94NT,2.29E+15,dki,Puspa Saptono,F,1984,M2,Pulo Gadung - Monas,0,P00014,Bermis,-6.178203,106.89859,1,4/3/2023 5:20,P00006,Atrium,-6.176251,106.84023,12,4/3/2023 6:04,3500
YYXK265F5N59SE,6.76E+11,flazz,"Dr. Zaenab Wulandari, S.Ked",M,1996,12B,Pluit - Senen,1,B05080P,Simpang Pluit Raya,-6.127123,106.80441,26,4/3/2023 5:43,P00123,Landmark Pluit Auto Plaza,-6.125258,106.79971,28,4/3/2023 6:29,3500
ZGJG301G9Z71AR,1.80E+14,emoney,T. Karna Sihombing,F,2001,5D,PGC 1 - Ancol,0,P00109,Matraman Baru,-6.21288,106.86115,7,4/3/2023 5:28,P00118,Kramat Sentiong,-6.18798,106.84595,13,4/3/2023 6:08,3500
KNSE319Q1P35CC,5.02E+11,flazz,Kalim Namaga,M,1971,9D,Pasar Minggu - Tanah Abang,1,B05716P,Term. Pasar Minggu 2,-6.282492,106.84455,1,4/3/2023 6:25,P00256,MH Thamrin,-6.188149,106.82299,37,4/3/2023 7:11,3500
WTBE175B2A58NC,4.96E+18,brizzi,Ophelia Firmansyah,M,2000,14,Jakarta International Stadium - Senen,0,B04647P,Sekolah Penabur Gunung Sahari,-6.170053,106.84024,20,4/3/2023 6:00,B05725P,Term. Senen,-6.17356,106.84213,21,4/3/2023 6:54,3500
WNJA365V4N56HF,3.43E+14,emoney,Marsito Melani,F,2010,7A,Kampung Rambutan - Lebak Bulus,1,B00610P,Gelanggang TB Simatupang,-6.289097,106.77909,4,4/3/2023 6:37,B01377P,Jln. Mastrip,-6.306793,106.87756,25,4/3/2023 6:59,3500
SLHT241M5V31BZ,4.91E+18,brizzi,Bakiman Budiman,F,1981,7Q,Blok M - PGC,1,B01509P,Jln. Poncol Jaya 1,-6.239706,106.81889,25,4/3/2023 6:35,B02880P,PLN Pusat,-6.240011,106.80376,30,4/3/2023 7:03,3500
SFFW927I8N52GM,4.61E+18,brizzi,"Lurhur Prasetya, S.E.I",M,1991,1M,Meruya - Blok M,0,B03697P,Sbr. Jln. Flamboyan Srengseng,-6.201447,106.75576,11,4/3/2023 6:23,B01860P,Kebayoran Baru Velbak 2,-6.239272,106.78492,34,4/3/2023 7:02,3500
BNNJ428H8B05IR,3.03E+13,bni,"Teguh Wijaya, S.Pt",F,1981,5C,PGC - Juanda,0,P00253,Tegalan,-6.203101,106.85715,10,4/3/2023 6:56,P00142,Pal Putih,-6.184631,106.84402,15,4/3/2023 7:27,3500
CILM584S6W21DC,2.68E+15,dki,"Dina Zulkarnain, M.M.",M,1991,B11,Summarecon Bekasi - BNN,0,B03155P,RS Mitra Keluarga 1,-6.240672,106.99317,1,4/3/2023 5:55,B00232P,Cawang Blue Bird,-6.248836,106.87801,6,4/3/2023 6:34,3500
WWNB500S1E66DW,4.10E+18,brizzi,Tgk. Uda Gunarto,F,1996,6Q,Dukuh Atas - Casablanca via Epicentrum Raya,0,B02082P,Casablanca,-6.22425,106.84452,4,4/3/2023 6:09,B04109P,Sbr. Multivision Tower,-6.212375,106.83303,13,4/3/2023 6:38,3500
MHRF005V2N53OQ,3.53E+15,dki,Narji Waskita,M,1985,JIS3,Harmoni - Jakarta International Stadium,1,B04789P,Simpang Danau Sunter Utara Barat,-6.139853,106.85663,11,4/3/2023 6:55,B01745P,Jembatan Item,-6.130078,106.85492,13,4/3/2023 7:43,3500
YTOA058V9U73VN,4.71E+12,online,"Cut Gabriella Haryanti, S.Sos",M,1974,T21,Palem Semi - Bundaran Senayan,1,B00808P,Islamic,-6.228521,106.61473,10,4/3/2023 6:37,B02557P,Palem Semi 2,-6.220361,106.61649,12,4/3/2023 7:20,20000
YEZH881F9T50DI,6.01E+15,dki,Kariman Rajata,M,1971,8E,Bintaro - Blok M,0,B01822P,Kantor Pos Kebayoran Lama,-6.249119,106.778,19,4/3/2023 5:18,P00155,Pasar Kebayoran Lama,-6.238413,106.78323,23,4/3/2023 5:58,3500
JINW306B9X30QT,2.13E+14,emoney,Fathonah Anggraini,M,2006,6M,Stasiun Manggarai - Blok M,0,P00160,Patra Kuningan,-6.232677,106.832087,8,4/3/2023 5:16,P00065,Gatot Subroto Jamsostek Arah Barat,-6.233551,106.82208,10,4/3/2023 5:41,3500
KZGL815X5W31IV,4.38E+15,dki,Ghaliyati Prayoga,F,1987,5D,PGC 1 - Ancol,0,P00031,Cawang Otista,-6.243607,106.86876,4,4/3/2023 5:16,P00070,Gelanggang Remaja,-6.235445,106.86795,5,4/3/2023 5:41,3500
UDDP570L6N53QS,3.44E+14,emoney,dr. Gasti Budiyanto,M,1998,5C,PGC - Juanda,0,P00134,Matraman 1,-6.19998,106.85443,11,4/3/2023 5:22,P00122,Kwitang,-6.181051,106.83866,16,4/3/2023 5:54,3500
NQKI710A7B46OS,3.51E+15,dki,Jasmani Sirait,M,1975,L13E,Puri Beta - Kuningan (Express),0,P00120,Kuningan Madya,-6.21341,106.8305,10,4/3/2023 6:08,P00124,Latuharhary,-6.202761,106.82771,12,4/3/2023 7:03,3500
KZNR646Q6B40PH,1.80E+14,emoney,"Ir. Yani Sihombing, S.H.",M,1973,12P,St. LRT Pegangsaan Dua - JIS,1,B05858P,Villa Bukit Gading,-6.157028,106.89966,11,4/3/2023 6:28,B03050P,Puskesmas Kelapa Gading,-6.157489,106.90703,13,4/3/2023 6:49,3500
XAYZ349R8U03QO,3.02E+13,bni,R. Yani Ardianto,F,1984,9N,Pinang Ranti - Pramuka,0,P00064,Garuda Taman Mini,-6.290154,106.88116,1,4/3/2023 6:27,P00016,BKN,-6.257751,106.87,2,4/3/2023 7:18,3500
DLUY732C1F10IM,3.77E+14,emoney,Luhung Hutapea,F,1981,1F,Stasiun Palmerah - Bundaran Senayan,0,P00218,Senayan JCC Arah Timur,-6.214145,106.809,4,4/3/2023 5:41,P00026,Bundaran Senayan,-6.227869,106.80094,6,4/3/2023 6:26,3500
AVII375J2K62NB,4.97E+12,online,Eka Yolanda,M,1998,B21,Bekasi Timur - Cawang,1,B05560P,Superindo Bulak Kapal 2,-6.249488,107.02384,9,4/3/2023 5:34,B05622P,Taman Margahayu 2,-6.24846,107.02153,10,4/3/2023 5:58,3500
ZULU908O5C48ME,2.41E+15,dki,Irfan Damanik,M,1993,14,Jakarta International Stadium - Senen,1,B01745P,Jembatan Item,-6.130078,106.85492,13,4/3/2023 6:15,P00095,JIS,-6.126689,106.85587,14,4/3/2023 6:51,3500
BYPO952B8M23LM,2.48E+15,dki,"Tgk. Joko Maryadi, M.Ak",M,1981,13C,Puri Beta - Dukuh Atas,0,P00136,Mayestik,-6.241921,106.79077,8,4/3/2023 5:59,P00200,Rawa Barat,-6.238947,106.81624,11,4/3/2023 6:25,3500
UMNC719B6F52LL,3.01E+13,bni,"Galak Budiman, S.Pt",F,2008,1,Blok M - Kota,0,P00012,Bendungan Hilir,-6.217137,106.81528,6,4/3/2023 5:05,P00137,Monas,-6.176248,106.82286,13,4/3/2023 6:05,3500
NZAY182R6T96VN,3.53E+15,dki,"Jamalia Zulkarnain, S.Gz",F,1988,4B,Stasiun Manggarai - UI,0,B05874P,Warga,-6.273295,106.84656,28,4/3/2023 5:23,B05259P,SMAN 109,-6.344687,106.83351,44,4/3/2023 6:17,3500
PNHJ396O9J75XG,4.45E+15,dki,"Ani Wasita, M.Pd",M,2004,8C,Kebayoran Lama - Tanah Abang,1,B01639P,Jln. Taman Kb. Sirih,-6.182295,106.81661,5,4/3/2023 5:12,B05264P,SMAN 24,-6.210598,106.79631,21,4/3/2023 5:35,3500
FZGD727V6X43JZ,3.51E+15,dki,Gatra Rahayu,M,1946,6V,Ragunan - Gelora Bung Karno,0,P00053,Duren Tiga,-6.252377,106.82697,8,4/3/2023 5:14,P00133,Masjid Agung,-6.236483,106.79845,13,4/3/2023 5:49,3500
DKJG081O7Q37WJ,4.20E+18,brizzi,drg. Tantri Situmorang,F,1983,12,Tanjung Priok - Pluit,1,P00076,Gunung Sahari Mangga Dua,-6.136817,106.83237,8,4/3/2023 6:27,P00171,Permai Koja Arah Utara,-6.11413,106.89309,18,4/3/2023 7:15,3500
BKKY164U1O32AK,4.97E+15,dki,Gangsar Siregar,M,1996,2A,Pulo Gadung - Rawa Buaya via Balai Kota,1,P00195,Pulo Mas,-6.174736,106.89277,22,4/3/2023 6:11,P00192,Pulo Gadung 1,-6.183239,106.90907,24,4/3/2023 6:33,3500
FDNY628B9V97MV,4.12E+12,online,"Cahyono Firmansyah, S.Pd",M,1992,M10,PGC 2 - Tanjung Priok,1,P00042,Cipinang Kebon Nanas,-6.231659,106.87637,16,4/3/2023 5:13,P00178,PGC 2,-6.2619,106.8657,21,4/3/2023 5:58,3500
ZSFB694B8Z63VI,4.94E+18,brizzi,Widya Nuraini,F,1994,M3,Kalideres - Bundaran HI via Veteran,1,P00237,Sumur Bor,-6.153046,106.71929,2,4/3/2023 6:15,P00074,Grogol 1,-6.166824,106.78971,10,4/3/2023 6:47,3500
TSLR223W4W45OA,3.70E+14,emoney,Putu Sihombing,M,1995,8A,Jelambar - Juanda,0,P00176,Petojo,-6.169984,106.81698,5,4/3/2023 6:54,P00097,Juanda,-6.168048,106.83089,7,4/3/2023 7:24,3500
IMBZ752A4M49RR,4.24E+15,dki,"H. Yahya Handayani, S.I.Kom",F,1994,1E,Pondok Labu - Blok M,0,B03626P,Sbr. ITC Fatmawati,-6.26343,106.7969,16,4/3/2023 6:29,B02860P,Plaza Blok M,-6.244978,106.79752,20,4/3/2023 7:16,3500
RNAS183Z1Z12QM,3.41E+14,emoney,Elisa Samosir,F,1996,5D,PGC 1 - Ancol,1,P00297,BNN LRT,-6.245863,106.871143,19,4/3/2023 6:12,P00178,PGC 2,-6.2619,106.8657,22,4/3/2023 6:51,3500
OASG298R9R39YK,2.24E+15,dki,Hafshah Laksmiwati,F,1999,1M,Meruya - Blok M,0,B01012P,Jln. Cipulir 1,-6.237267,106.7754,32,4/3/2023 6:35,P00045,CSW 2,-6.239861,106.79783,40,4/3/2023 7:34,3500
KMGZ282X0W07TF,4.96E+12,online,Cahyono Mustofa,M,1984,11Q,Kampung Melayu - Pulo Gebang via BKT,1,B02615P,Ps. Inpres Cipinang Besar,-6.22645,106.88078,5,4/3/2023 5:35,B05581P,Taman Buaran Indah,-6.216979,106.92356,22,4/3/2023 6:15,3500
KAGY982E0G63WU,6.54E+15,dki,Aurora Nasyiah,M,1991,M4,Pulo Gadung 2 - Dukuh Atas 2,1,P00269,Velodrome,-6.193468,106.8883,5,4/3/2023 6:32,P00052,Dukuh Atas 2,-6.203276,106.82377,15,4/3/2023 7:20,3500
BUDJ602J8I77KB,2.25E+15,dki,Zelda Kuswoyo,M,2002,9H,Blok M - Universitas Indonesia,1,B05408P,SPBU Jln. Guru,-6.318164,106.83745,35,4/3/2023 5:59,B05266P,SMAN 38,-6.336201,106.83579,41,4/3/2023 6:26,3500
KLGQ685S6S27LR,5.65E+11,flazz,"Azalea Setiawan, S.E.",F,2007,10D,Kampung Rambutan - Tanjung Priok,0,P00036,Cempaka Putih,-6.174207,106.87642,8,4/3/2023 5:36,P00153,Pasar Induk Kramat Jati,-6.294215,106.87203,13,4/3/2023 6:01,3500
FTGZ177C9F39DV,3.55E+15,dki,"Dr. Luthfi Sihombing, M.TI.",F,1998,13D,Puri Beta - Ragunan,1,P00053,Duren Tiga,-6.252377,106.82697,8,4/3/2023 6:54,P00106,Kebayoran Lama,-6.23834,106.77752,16,4/3/2023 7:28,3500
WWNZ239E2U71YZ,4.71E+15,dki,"dr. Laswi Pranowo, S.Pd",F,2012,5N,Kampung Melayu - Ragunan,1,B01846P,Kav Polri Blok E Jagakarsa,-6.314309,106.81633,11,4/3/2023 6:04,B03752P,Sbr. Jln. Kemang Timur XVII,-6.268951,106.82394,32,4/3/2023 6:42,3500
OQPW261C9P13AZ,2.13E+14,emoney,Viktor Zulkarnain,M,1987,JIS3,Harmoni - Jakarta International Stadium,1,P00161,Pecenongan,-6.16771,106.82819,6,4/3/2023 5:53,B05550P,Sunter Icon,-6.135417,106.85589,12,4/3/2023 6:44,3500
MMPM755Y9P33YQ,3.59E+15,dki,Ibun Kusumo,F,1967,9D,Pasar Minggu - Tanah Abang,0,B00101P,Balai Kartini,-6.234791,106.82457,22,4/3/2023 5:48,B02532P,Nifarro Park,-6.263007,106.84332,36,4/3/2023 6:15,3500
VIEN644M4Y22JQ,6.30E+11,flazz,"H. Aswani Megantara, M.M.",M,2008,1P,Senen - Blok M,1,B01969P,Kementerian Pariwisata,-6.1795,106.82255,19,4/3/2023 5:07,B02476P,Monas 2,-6.175999,106.82311,21,4/3/2023 6:01,3500
MCRU709P0B56NX,4.33E+18,brizzi,Murti Kurniawan,M,2010,6T,Pasar Minggu - Velbak,0,B05210P,Simpang Tunda Bara TB Simatupang,-6.292612,106.7987,17,4/3/2023 5:29,B04790P,Simpang Darmawangsa X,-6.257555,106.80048,32,4/3/2023 6:09,3500
HJVJ441W7K25YC,3.05E+13,bni,"Gamblang Pradipta, M.Farm",M,2004,5F,Kampung Melayu - Tanah Abang,0,B05423P,Viva Futsal,-6.218724,106.81944,17,4/3/2023 6:47,B01974P,Kesatrian Kowal Cut Nyak Dhien,-6.194307,106.81436,24,4/3/2023 7:46,3500
QWZD161N6O38NX,3.02E+13,bni,Daliono Adriansyah,F,2012,12,Tanjung Priok - Pluit,0,P00131,Mangga Dua,-6.136148,106.82597,13,4/3/2023 6:27,P00098,Kali Besar Barat,-6.135355,106.81143,15,4/3/2023 7:23,3500
DMOC676Z0X94JW,5.87E+11,flazz,"KH. Paiman Maheswara, S.I.Kom",M,1969,7D,Pancoran - Kampung Rambutan,0,P00018,BNN Arah Barat,-6.24651,106.87318,8,4/3/2023 5:05,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,13,4/3/2023 5:55,3500
